Date,Forecast
2011-01-31,152.7217309059362
2011-02-28,224.86847770034584
2011-03-31,216.54031621405716
2011-04-30,179.84269536130188
2011-05-31,186.77786790505232
2011-06-30,169.97055341165301
2011-07-31,170.61721205825842
2011-08-31,166.02200757242312
2011-09-30,165.23817726605782
2011-10-31,162.08460600618656
2011-11-30,183.9541516494133
2011-12-31,175.14445782014502
2012-01-31,158.00752061030914
2012-02-29,224.05807815994083
2012-03-31,222.15443705194144
2012-04-30,190.2833752775519
2012-05-31,194.44916977667216
2012-06-30,176.44652904385626
2012-07-31,176.14535141038047
2012-08-31,171.5387341080701
2012-09-30,169.9776538570867
2012-10-31,168.69864232276925
2012-11-30,191.64744361686854
2012-12-31,184.85320195265953
2013-01-31,168.4815748469278
2013-02-28,233.0436154040482
2013-03-31,229.05406819406193
2013-04-30,195.52528513258702
2013-05-31,200.58907373947676
2013-06-30,182.9737448428345
2013-07-31,182.99807381956987
2013-08-31,178.39681681134886
2013-09-30,177.10692031944268
2013-10-31,175.20527902807953
2013-11-30,197.79615925870937
2013-12-31,190.2755178133212
2014-01-31,173.55168802316146
2014-02-28,241.9177802843788
2014-03-31,235.7567839652575
2014-04-30,200.54818230889347
2014-05-31,206.46284690363578
2014-06-30,189.17607314764822
2014-07-31,189.44404254123972
2014-08-31,184.72620239951078
2014-09-30,183.5788645956065
2014-10-31,180.93169469051836
2014-11-30,203.0459306819141
2014-12-31,194.75611977341322
2015-01-31,177.65362280997272
2015-02-28,249.66227797314826
2015-03-31,241.181229323754
2015-04-30,204.33565315183537
2015-05-31,211.11628321000646
2015-06-30,194.15941148562763
2015-07-31,194.65152766021592
2015-08-31,189.9017807023528
2015-09-30,188.9683375734865
2015-10-31,185.66016632137746
2015-11-30,207.38009906888263
2015-12-31,198.41580524737395
2016-01-31,181.12419849846052
2016-02-29,247.0300651889586
2016-03-31,244.97175450151354
2016-04-30,212.95101248894196
2016-05-31,216.96213740862765
2016-06-30,198.8098163094051
2016-07-31,198.35396892766207
2016-08-31,193.5926818770778
2016-09-30,191.88192122453296
2016-10-31,190.44823983908506
2016-11-30,213.24736060930587
2016-12-31,206.29844907042727
2017-01-31,189.7721520900268
2017-02-28,254.1944907415604
2017-03-31,250.05027389951402
2017-04-30,216.37181054893685
2017-05-31,221.28092952375667
2017-06-30,203.5159203697308
2017-07-31,203.3855797471702
2017-08-31,198.63522102180534
2017-09-30,197.20103254557554
2017-10-31,195.15028953706008
2017-11-30,217.59687788906186
2017-12-31,209.9505948881651
2018-01-31,193.10112354250822
2018-02-28,261.35373310842635
2018-03-31,255.06709528927874
2018-04-30,219.77899105549605
2018-05-31,225.61150298688278
2018-06-30,208.245226653453
2018-07-31,208.43104338045717
2018-08-31,203.68455692964937
2018-09-30,202.5094968911556
2018-10-31,199.83368067700343
2018-11-30,221.92019441027784
2018-12-31,213.6017371683931
2019-01-31,196.49745773344722
2019-02-28,268.50450292238077
2019-03-31,260.0216718014711
2019-04-30,223.17437088937635
2019-05-31,229.95487403846755
2019-06-30,212.99787949886147
2019-07-31,213.48986876436547
2019-08-31,208.739994889598
2019-09-30,207.80648452942825
2019-10-31,204.4982438049688
2019-11-30,226.21810932117535
2019-12-31,217.2537459466987
2020-01-31,199.96213919165285
2020-02-29,265.8680058764138
2020-03-31,263.8096951828603
2020-04-30,231.78895316437502
2020-05-31,235.80007807793447
2020-06-30,217.64775710101873
2020-07-31,217.19190984562937
2020-08-31,212.4306229214335
2020-09-30,210.71986239117817
2020-10-31,209.28618123495366
2020-11-30,232.08530222699503
2020-12-31,225.13639091734413
2021-01-31,208.6100941661773
2021-02-28,273.0324331080488
2021-03-31,268.8882165874282
2021-04-30,235.2097535479065
2021-05-31,240.1188728441469
2021-06-30,222.35386396946558
2021-07-31,222.22352363555294
2021-08-31,217.47316519883182
2021-09-30,216.0389770019445
2021-10-31,213.98823428209283
2021-11-30,236.4348228077401
2021-12-31,228.78853998628693
2022-01-31,211.93906882006473
2022-02-28,280.19167854808194
2022-03-31,273.9050408528814
2022-04-30,238.61693673906052
2022-05-31,244.44944879441678
2022-06-30,227.08317258095656
2022-07-31,227.26898943516719
2022-08-31,222.52250311156794
2022-09-30,221.34744319616667
2022-10-31,218.6716271092082
2022-11-30,240.75814098910823
2022-12-31,232.43968389873098
2023-01-31,215.33540461529586
2023-02-28,287.34244994106894
